date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:44	33457/33457	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%221139b453339922b3a5bc69f0ac1a5237%22	https://screenprank.com/windows-7/resources/ico/file.ico	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/file.ico	(from https://screenprank.com/windows-7/core.min.css)
12:24:44	53411/53411	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22ad6a8b420512bf6993489e838173bdf7%22	https://screenprank.com/windows-7/resources/ico/folder.ico	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/folder.ico	(from https://screenprank.com/windows-7/core.min.css)
12:24:44	103213/103213	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22ce52796d091b85dd2c15934b0677302a%22	https://screenprank.com/windows-7/resources/ico/personal.ico	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/personal.ico	(from https://screenprank.com/windows-7/core.min.css)
12:24:45	53146/53146	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%225de6a6da4c6590d048801344c0a5a1f3%22	https://screenprank.com/windows-7/resources/ico/desktop.ico	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/desktop.ico	(from https://screenprank.com/windows-7/core.min.css)
12:24:45	78885/78885	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%221f94c9e6ab2c514ea9e2cf7075b5d31d%22	https://screenprank.com/windows-7/resources/ico/disk-data.ico	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/disk-data.ico	(from https://screenprank.com/windows-7/core.min.css)
12:24:45	55478/55478	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22b61b0a2989e1c33551ed5891d4553264%22	https://screenprank.com/windows-7/resources/ico/disk-usb.ico	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/disk-usb.ico	(from https://screenprank.com/windows-7/core.min.css)
12:24:45	56046/56046	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%228411a970072d04d232f8b472d87b2da3%22	https://screenprank.com/windows-7/resources/ico/disk-os.ico	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/disk-os.ico	(from https://screenprank.com/windows-7/core.min.css)
12:24:45	86669/86669	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22e5b57ebe1f282ec543e09ddbcc78a8a6%22	https://screenprank.com/windows-7/resources/ico/disk-cd.ico	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/disk-cd.ico	(from https://screenprank.com/windows-7/core.min.css)
12:24:46	46827/46827	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%226fd1aa32fd229d94c36772b0705ac9f9%22	https://screenprank.com/windows-7/resources/ico/cancel.ico	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/cancel.ico	(from https://screenprank.com/windows-7/core.min.css)
12:24:46	18582/18582	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%225f483414b12f8d2194ce0ac092a91dc6%22	https://screenprank.com/windows-7/resources/ico/save.ico	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/save.ico	(from https://screenprank.com/windows-7/core.min.css)
12:24:46	92061/92061	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22784dbc95bd5927fd030c68acf3f4ac77%22	https://screenprank.com/windows-7/resources/ico/player.ico	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/player.ico	(from https://screenprank.com/windows-7/core.min.css)
12:24:46	179273/179273	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22fa50c13fec62a44e752cb0bd2e781c09%22	https://screenprank.com/windows-7/resources/ico/info.ico	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/info.ico	(from https://screenprank.com/windows-7/core.min.css)
12:24:47	24060/24060	---M--	200	added ('OK')	image/webp	etag:%22b9ee871de848858e8e44d957b2676c93%22	https://screenprank.com/windows-7/resources/bg/login.webp	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/bg/login.webp	(from https://screenprank.com/windows-7/core.min.css)
12:24:47	48954/48954	---M--	200	added ('OK')	image/webp	etag:%220d6edd3a528721423b7dada5d5dfc20e%22	https://screenprank.com/windows-7/resources/ico/start-button.webp	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/start-button.webp	(from https://screenprank.com/windows-7/core.min.css)
12:24:47	32672/32672	---M--	200	added ('OK')	image/webp	etag:%22c690419f08a4fe54f4389cdd4b02ff43%22	https://screenprank.com/windows-7/resources/bg/default.webp	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/bg/default.webp	(from https://screenprank.com/windows-7/core.min.css)
12:24:47	57298/57298	---M--	200	added ('OK')	image/webp	etag:%220ae03df247b5937ab907ba11218dfd54%22	https://screenprank.com/windows-7/resources/bg/architecture.webp	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/bg/architecture.webp	(from https://screenprank.com/windows-7/core.min.css)
12:24:47	203624/203624	---M--	200	added ('OK')	image/webp	etag:%223a22affc56282161f77e3138f6b97527%22	https://screenprank.com/windows-7/resources/bg/landscape.webp	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/bg/landscape.webp	(from https://screenprank.com/windows-7/core.min.css)
12:24:48	72940/72940	---M--	200	added ('OK')	image/webp	etag:%22e9e009771780143008812ca9b1c2f45f%22	https://screenprank.com/windows-7/resources/bg/nature.webp	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/bg/nature.webp	(from https://screenprank.com/windows-7/core.min.css)
12:24:48	33264/33264	---M--	200	added ('OK')	image/webp	etag:%226a01afc60d8795b2aab03e52facf1342%22	https://screenprank.com/windows-7/resources/ico/start-button-classic.webp	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/start-button-classic.webp	(from https://screenprank.com/windows-7/core.min.css)
